Name,ROM,Color,Type,Lazada,TGDD
            APPLE IPHONE 7 PLUS ,128G,null, Hàng nhập khẩu + 1 gói bảo,20499000,17340000
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu,21450000,23990000
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu + 1 gói bảo hành 1,21499000,23990000
            APPLE IPHONE 7 PLUS ,32G,null, Hàng nhập khẩu + 1 gói bảo hành 1,18599000,19990000
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16403000,18990000
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,19500000,18990000
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,15990000
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15290000,15990000
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13959000,15990000
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14382000,15990000
            Apple iPhone 7 Plus ,128G,Đen, Hãng Phân phối chính thức,21180000,17700000
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,20500000,17700000
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,17700000
            Apple iPhone 7 Plus ,128G,null,hàng nhập khẩu,21900000,17700000
            Apple iPhone 7 Plus ,128G,Đen nhám, Hãng phân phối chính thức,21180000,17700000
            IPHONE 7 PLUS ,128G,ĐEN NHÁM, HÀNG NHẬP KHẨU,20000000,17340000
            IPHONE 7 PLUS ,32G,ĐEN, HÀNG NHẬP KHẨU,18100000,19990000
            IPHONE 7PLUS ,128G,null,null,20000000,14620000
            iPHONE 7 PLUS ,32G,null, Hàng nhập khẩu,17700000,19990000
            iPhone 7 ,128G,null, HÀNG CHÍNH HÃNG,17990000,18990000
            iPhone 7 ,256G,null, Hãng Phân phối chính thức,19999000,23990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, HÀNG CHÍNH HÃNG,15490000,15990000
            iPhone 7 Plus ,128G,null, Hãng phân phối chính thức,22999000,17340000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iphone 7 ,128G,null,null,17500000,18990000
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,18990000
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,18990000
            Điện thoại iPhone 7 ,32G,null,null,16250000,18990000
            Điện thoại iPhone 7 Plus ,32G,,null,21990000,18990000
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu,21450000,23990000
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu + 1 gói bảo hành 1,21499000,23990000
            APPLE IPHONE 7 PLUS ,32G,null, Hàng nhập khẩu + 1 gói bảo hành 1,18599000,19990000
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16403000,18990000
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,19500000,18990000
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,15990000
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15290000,15990000
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13959000,15990000
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,14033000,15990000
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14382000,15990000
            Apple iPhone 7 Plus ,128G,Đen, Hãng Phân phối chính thức,21180000,17340000
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,20500000,17340000
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,17340000
            Apple iPhone 7 Plus ,128G,null,hàng nhập khẩu,21900000,17340000
            Apple iPhone 7 Plus ,128G,Đen nhám, Hãng phân phối chính thức,21180000,17340000
            IPHONE 7 PLUS ,128G,ĐEN NHÁM, HÀNG NHẬP KHẨU,20000000,17700000
            IPHONE 7 PLUS ,32G,ĐEN, HÀNG NHẬP KHẨU,18100000,19990000
            IPHONE 7PLUS ,128G,null,null,20000000,14620000
            iPHONE 7 PLUS ,32G,null, Hàng nhập khẩu,17700000,19990000
            iPhone 7 ,256G,null, Hãng Phân phối chính thức,19999000,23990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,15990000
            iPhone 7 ,32G,null, HÀNG CHÍNH HÃNG,15490000,15990000
            iPhone 7 Plus ,128G,null, Hãng Phân phối chính thức,22999000,17340000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000
            iphone 7 ,128G,null,null,17500000,18990000
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,18990000
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,18990000
            Điện thoại iPhone 7 ,32G,null,null,16250000,18990000
            Điện thoại iPhone 7 Plus ,32G,,null,21990000,18990000
            APPLE IPHONE 7 PLUS ,128G,null, Hàng nhập khẩu + 1 gói bảo,20499000,17340000,null
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu,21450000,23990000,null
            APPLE IPHONE 7 PLUS ,32G,null, Hàng nhập khẩu + 1 gói bảo hành 1,18599000,19990000,null
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,null
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16403000,18990000,null
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,19500000,18990000,null
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,18990000,null
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15290000,18990000,null
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13959000,18990000,null
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14382000,18990000,null
            Apple iPhone 7 Plus ,128G,Đen, Hãng Phân phối chính thức,21180000,17340000,null
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,20500000,17340000,null
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,17340000,null
            Apple iPhone 7 Plus ,128G,null,hàng nhập khẩu,21900000,17340000,null
            IPHONE 7 PLUS ,128G,ĐEN NHÁM, HÀNG NHẬP KHẨU,20000000,17340000,null
            IPHONE 7 PLUS ,32G,ĐEN, HÀNG NHẬP KHẨU,18100000,17340000,null
            IPHONE 7PLUS ,128G,null,null,20000000,14620000,null
            iPHONE 7 PLUS ,32G,null, Hàng nhập khẩu,17700000,19990000,null
            iPhone 7 ,128G,null, HÀNG CHÍNH HÃNG,17990000,19990000,null
            iPhone 7 ,256G,null, Hãng Phân phối chính thức,19999000,23990000,null
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,null
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,null
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,null
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,null
            iPhone 7 ,32G,null, HÀNG CHÍNH HÃNG,15490000,23990000,null
            iPhone 7 Plus ,128G,null, Hãng Phân phối chính thức,22999000,23990000,null
            iPhone 7 Plus ,128G,null, Hãng phân phối chính thức,22999000,23990000,null
            iPhone 7 Plus ,256G,null, Hãng Phân phối chính thức,24999000,23990000,null
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,null
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,null
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,null
            iphone 7 ,128G,null,null,17500000,18990000,null
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,18990000,null
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,18990000,null
            Điện thoại iPhone 7 ,32G,null,null,16250000,18990000,null
            Điện thoại iPhone 7 Plus ,128G,,null,23990000,18990000,null
            APPLE IPHONE 7 PLUS ,128G,null, Hàng nhập khẩu + 1 gói bảo,20499000,17340000,
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu,21450000,23990000,
            APPLE IPHONE 7 PLUS ,32G,null, Hàng nhập khẩu + 1 gói bảo hành 1,18599000,23990000,
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16403000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,19500000,18990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,15990000,
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15290000,15990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13959000,15990000,
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14382000,15990000,
            Apple iPhone 7 Plus ,128G,Đen, Hãng Phân phối chính thức,21180000,17340000,
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,20500000,17340000,
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,17340000,
            Apple iPhone 7 Plus ,128G,null,hàng nhập khẩu,21900000,17340000,
            IPHONE 7 PLUS ,128G,ĐEN NHÁM, HÀNG NHẬP KHẨU,20000000,17340000,
            IPHONE 7 PLUS ,32G,ĐEN, HÀNG NHẬP KHẨU,18100000,17340000,
            IPHONE 7PLUS ,128G,null,null,20000000,17340000,
            iPHONE 7 PLUS ,32G,null, Hàng nhập khẩu,17700000,17340000,
            iPhone 7 ,128G,null, HÀNG CHÍNH HÃNG,17990000,18990000,
            iPhone 7 ,256G,null, Hãng Phân phối chính thức,19999000,18990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,18990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,18990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,18990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,18990000,
            iPhone 7 ,32G,null, HÀNG CHÍNH HÃNG,15490000,18990000,
            iPhone 7 Plus ,128G,null, Hãng Phân phối chính thức,22999000,18990000,
            iPhone 7 Plus ,128G,null, Hãng phân phối chính thức,22999000,18990000,
            iPhone 7 Plus ,256G,null, Hãng Phân phối chính thức,24999000,23990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,
            iphone 7 ,128G,null,null,17500000,18990000,
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,18990000,
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,18990000,
            Điện thoại iPhone 7 ,32G,null,null,16250000,18990000,
            Điện thoại iPhone 7 Plus ,128G,,null,23990000,18990000,
            APPLE IPHONE 7 PLUS ,128G,null, Hàng nhập khẩu + 1 gói bảo,20499000,17340000,
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu,21450000,23990000,
            APPLE IPHONE 7 PLUS ,32G,null, Hàng nhập khẩu + 1 gói bảo hành 1,18599000,23990000,
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16403000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,19500000,18990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,15990000,
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15290000,15990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13959000,15990000,
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14382000,15990000,
            Apple iPhone 7 Plus ,128G,Đen, Hãng Phân phối chính thức,21180000,15990000,
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,20500000,15990000,
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,15990000,
            Apple iPhone 7 Plus ,128G,null,hàng nhập khẩu,21900000,15990000,
            IPHONE 7 PLUS ,128G,ĐEN NHÁM, HÀNG NHẬP KHẨU,20000000,15990000,
            IPHONE 7 PLUS ,32G,ĐEN, HÀNG NHẬP KHẨU,18100000,15990000,
            IPHONE 7PLUS ,128G,null,null,20000000,14620000,
            iPHONE 7 PLUS ,32G,null, Hàng nhập khẩu,17700000,14620000,
            iPhone 7 ,128G,null, HÀNG CHÍNH HÃNG,17990000,18990000,
            iPhone 7 ,256G,null, Hãng Phân phối chính thức,19999000,23990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,23990000,
            iPhone 7 ,32G,null, HÀNG CHÍNH HÃNG,15490000,23990000,
            iPhone 7 Plus ,128G,null, Hãng Phân phối chính thức,22999000,23990000,
            iPhone 7 Plus ,128G,null, Hãng phân phối chính thức,22999000,23990000,
            iPhone 7 Plus ,256G,null, Hãng Phân phối chính thức,24999000,23990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,23990000,
            iphone 7 ,128G,null,null,17500000,18990000,
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,18990000,
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,18990000,
            Điện thoại iPhone 7 ,32G,null,null,16250000,18990000,
            Điện thoại iPhone 7 Plus ,128G,,null,23990000,18990000,
            APPLE IPHONE 7 PLUS ,128G,null, Hàng nhập khẩu + 1 gói bảo,20499000,17340000,
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu,21450000,23990000,
            APPLE IPHONE 7 PLUS ,256G,null, Hàng nhập khẩu + 1 gói bảo hành 1,21499000,23990000,
            APPLE IPHONE 7 PLUS ,32G,null, Hàng nhập khẩu + 1 gói bảo hành 1,18599000,19990000,
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16403000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,19500000,18990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,15990000,
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15290000,15990000,
